,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
151,2012-08-01,45294,16539,3222,3279,10038,99,27960,1219,1318,36.09795490756706,0.21607700198616234,2.6605844992033525,61.02538359124342,2.8766615011895147
152,2012-09-01,45734,16714,3249,3316,10149,99,28217,1235,1334,36.12666162325732,0.21398465362585106,2.6694045174537986,60.98994920566303,2.8833891710796498
153,2012-10-01,46694,17351,3335,3436,10580,101,28536,1247,1348,36.733354504075365,0.21382449454853394,2.639991531703186,60.412829469672914,2.85381602625172
154,2012-11-01,47393,17620,3404,3486,10730,103,28954,1261,1364,36.7558095873837,0.21486086194668114,2.630481038007426,60.398848512662184,2.845341899954107
155,2012-12-01,48330,18142,3524,3513,11105,104,29363,1273,1377,37.113866044760854,0.21275725215825864,2.6042305961294545,60.06914610695143,2.816987848287713
156,2013-01-01,48790,18281,3567,3527,11187,106,29676,1280,1386,37.0488215147032,0.21482277121374865,2.5940862939018707,60.14226942018118,2.808909065115619
157,2013-02-01,49597,18723,3647,3677,11399,108,30029,1295,1403,37.330276143953746,0.2153324693450304,2.5819958129797627,59.87239557372146,2.797328282324793
158,2013-03-01,51059,19651,3746,3871,12034,110,30548,1316,1426,38.06489104116223,0.21307506053268765,2.549152542372881,59.172881355932205,2.762227602905569
159,2013-04-01,51794,20029,3813,3954,12262,110,30898,1328,1438,38.24883032559916,0.21006397402845411,2.5360450682707913,59.00506063210159,2.7461090422992456
160,2013-05-01,52676,20427,3936,3992,12499,112,31372,1340,1452,38.35984300764304,0.21032468873823967,2.51638466883251,58.913447634786195,2.72670935757075
161,2013-06-01,53329,20586,4010,4031,12545,116,31858,1357,1473,38.18090769145168,0.2151455014188475,2.5168314260808278,59.08711538104865,2.7319769274996757
162,2013-07-01,53845,20729,4071,4046,12612,118,32223,1363,1481,38.081678393621516,0.21678026197343522,2.503995737879595,59.197545606525445,2.7207759998530303
163,2013-08-01,54427,20904,4112,4074,12718,120,32620,1372,1492,37.99621928166352,0.21811836556638067,2.4938199796422857,59.291842373127814,2.7119383452086665
164,2013-09-01,55047,21194,4167,4116,12911,121,32945,1384,1505,38.088563007691754,0.21745381352886203,2.487240313421034,59.20674286535835,2.704694126949896
165,2013-10-01,56237,22021,4295,4268,13458,124,33300,1405,1529,38.73526824978013,0.21811785400175904,2.47141600703606,58.575197889182064,2.6895338610378188
166,2013-11-01,57132,22436,4400,4339,13697,126,33771,1418,1544,38.84954373084449,0.21817804020709597,2.4553687382036675,58.476909490744745,2.6735467784107634
167,2013-12-01,58208,23067,4548,4393,14126,129,34207,1432,1561,39.20625478031784,0.21925724483725673,2.4339253845500126,58.1405625902949,2.6531826293872696
168,2014-01-01,58610,23181,4589,4406,14186,132,34489,1436,1568,39.131976096424594,0.22282994024106148,2.4241196529254867,58.22107431040886,2.6469495931665485
169,2014-02-01,59442,23606,4639,4593,14374,136,34887,1456,1592,39.28767579262711,0.2263460098194225,2.423233752184405,58.06274444536906,2.6495797620038277
170,2014-03-01,60772,24512,4757,4727,15028,138,35302,1471,1609,39.90687527473422,0.22467153997688163,2.394868371782557,57.47358481350634,2.6195399117594387
171,2014-04-01,61632,24902,4848,4807,15247,139,35763,1483,1622,39.97944996548237,0.22316053108995454,2.3809141554417455,57.41647534798594,2.6040746865316997
172,2014-05-01,62463,25242,4944,4854,15444,140,36247,1494,1634,39.98859369801816,0.22178920520254108,2.3668076612328313,57.422809435546476,2.5885968664353722
173,2014-06-01,62906,25371,4988,4876,15507,141,36559,1500,1641,39.909707256453416,0.22179924808481852,2.359566468987431,57.50892702647433,2.58136571707225
174,2014-07-01,63302,25492,5033,4882,15577,141,36821,1515,1656,39.85055261142116,0.22041926558176617,2.3683346621019554,57.560693460895116,2.588753927683722
175,2014-08-01,63688,25629,5058,4913,15658,145,37064,1522,1667,39.82131758856433,0.22529521441889372,2.3648228713486636,57.58856432566811,2.5901180857675574
